Donor_ID,coverage,Percentage
PD43947h_lo0247,27.97,96.907287
PD43947h_lo0248,21.65,94.493385
PD43947h_lo0249,20.9,94.403302
PD43947h_lo0250,22.02,95.778218
PD43947h_lo0251,21.54,97.412245
PD43947h_lo0252,24.52,89.479539
PD43947h_lo0253,29.82,95.590955
PD43947h_lo0254,23.13,97.084454
PD43947h_lo0255,24.26,97.567444
PD43947h_lo0256,18.88,90.180597
PD43947h_lo0257,23.42,94.881455
PD43947h_lo0259,26.41,95.573981
PD43947h_lo0260,19.95,90.3438
PD43947h_lo0261,25.38,97.670721
PD43947h_lo0262,22.6,97.146813
PD43947h_lo0263,25.19,97.598831
PD43947h_lo0264,22.15,97.393086
PD43947h_lo0265,23.69,96.909303
PD43947h_lo0266,24.71,97.469715
PD43947h_lo0267,24.97,95.998029
PD43947h_lo0268,21.71,94.956963
PD43947h_lo0269,22.12,96.630059
PD43947h_lo0274,25.69,95.174272
PD43947h_lo0275,13.46,84.19392
PD43947h_lo0277,24.23,93.972269
PD43947h_lo0278,24.18,95.240762
PD43947h_lo0279,24.51,95.102656
PD43947h_lo0280,20.52,96.448886
PD43947h_lo0281,21.39,88.802782
PD43947h_lo0282,21.75,97.44175
PD43947h_lo0283,21.68,87.009987
PD43947h_lo0284,23.29,97.141127
PD43947h_lo0285,26.83,92.024013
PD43947h_lo0286,20.62,82.422627
PD43947h_lo0287,19.2,85.088725
PD43947h_lo0289,16.69,89.54282
PD43947h_lo0290,20.32,94.659065
PD43947h_lo0291,20.13,97.61692
PD43947h_lo0292,15.24,93.954503
PD43947h_lo0293,11.86,74.230803
PD43947h_lo0294,14.48,77.515287
PD43947h_lo0295,17.29,83.365577
PD43947h_lo0296,17.45,94.252081
PD43947h_lo0297,22.13,96.68741
PD43947h_lo0298,26.44,94.066585
PD43947h_lo0299,20.05,91.252642
PD43947h_lo0300,21.28,94.906539
PD43947h_lo0301,21.44,93.867209
PD43947h_lo0302,19.94,79.564754
PD43947h_lo0307,11.95,70.989148
PD43947h_lo0308,29.11,96.437579
PD43947h_lo0309,20.5,90.337682
PD43947h_lo0310,20.24,97.425001
PD43947h_lo0311,18.08,86.207475
PD43947h_lo0312,16.43,72.370716
PD43947h_lo0313,21.08,85.098076
PD43947h_lo0314,15.4,84.357022
PD43947h_lo0315,22.28,96.104945
